#,SALVATION_DITCH,WILLOW_CREEK_DITCH,RED_MOUNTAIN_DITCH,HOLDEN_DITCH,HERRICK_DITCH
#,3800981,3801101,3801790,3800755,3800749
#Date,AF,AF,AF,AF,AF
1974-10-01,977,269,461,0,563
1974-11-01,0,0,0,0,0
1974-12-01,0,0,0,0,0
1975-01-01,0,0,0,0,0
1975-02-01,0,0,0,0,0
1975-03-01,0,0,0,0,0
1975-04-01,0,0,0,0,0
1975-05-01,362,53,186,0,83
1975-06-01,1260,307,814,364,449
1975-07-01,1285,402,834,687,543
1975-08-01,1729,694,1088,938,995
1975-09-01,1723,774,813,2405,826
1975-10-01,425,117,201,0,245
1975-11-01,0,0,0,0,0
1975-12-01,0,0,0,0,0
1976-01-01,0,0,0,0,0
1976-02-01,0,0,0,0,0
1976-03-01,0,0,0,0,0
1976-04-01,0,0,0,0,0
1976-05-01,524,76,268,0,119
1976-06-01,1394,402,901,616,497
1976-07-01,1546,477,1004,808,653
1976-08-01,1410,594,887,829,811
1976-09-01,1465,825,692,3108,703
1976-10-01,135,37,64,0,78
1976-11-01,0,0,0,0,0
1976-12-01,0,0,0,0,0
1977-01-01,0,0,0,0,0
1977-02-01,0,0,0,0,0
1977-03-01,0,0,0,0,0
1977-04-01,0,0,0,0,0
1977-05-01,655,112,336,635,149
1977-06-01,1584,498,1024,836,565
1977-07-01,1206,383,783,666,509
1977-08-01,1607,665,1012,917,925
1977-09-01,1781,781,841,2365,855
1977-10-01,788,217,372,0,454
1977-11-01,0,0,0,0,0
1977-12-01,0,0,0,0,0
1978-01-01,0,0,0,0,0
1978-02-01,0,0,0,0,0
1978-03-01,0,0,0,0,0
1978-04-01,0,0,0,0,0
1978-05-01,594,86,305,0,135
1978-06-01,1512,466,977,767,539
1978-07-01,1593,489,1035,823,673
1978-08-01,1784,595,1123,699,1027
1978-09-01,1729,397,816,0,829
1978-10-01,1418,390,669,0,816
1978-11-01,0,0,0,0,0
1978-12-01,0,0,0,0,0
1979-01-01,0,0,0,0,0
1979-02-01,0,0,0,0,0
1979-03-01,0,0,0,0,0
1979-04-01,0,0,0,0,0
1979-05-01,395,57,203,0,90
1979-06-01,1033,311,667,501,368
1979-07-01,1620,494,1052,827,684
1979-08-01,1329,472,837,585,765
1979-09-01,2051,471,969,0,984
1979-10-01,1037,286,490,0,597
1979-11-01,0,0,0,0,0
1979-12-01,0,0,0,0,0
1980-01-01,0,0,0,0,0
1980-02-01,0,0,0,0,0
1980-03-01,0,0,0,0,0
1980-04-01,0,0,0,0,0
1980-05-01,546,87,280,299,124
1980-06-01,1574,491,1017,819,561
1980-07-01,1646,503,1069,845,695
1980-08-01,1629,670,1026,920,938
1980-09-01,1692,409,799,136,812
1980-10-01,399,110,189,0,230
1980-11-01,0,0,0,0,0
1980-12-01,0,0,0,0,0
1981-01-01,0,0,0,0,0
1981-02-01,0,0,0,0,0
1981-03-01,0,0,0,0,0
1981-04-01,51,0,27,0,20
1981-05-01,347,61,178,415,79
1981-06-01,1446,456,934,768,515
1981-07-01,1408,440,914,754,595
1981-08-01,1706,706,1074,973,982
1981-09-01,1482,608,700,1706,711
1981-10-01,914,252,432,0,526
1981-11-01,0,0,0,0,0
1981-12-01,0,0,0,0,0
1982-01-01,0,0,0,0,0
1982-02-01,0,0,0,0,0
1982-03-01,0,0,0,0,0
1982-04-01,0,0,0,0,0
1982-05-01,495,72,254,0,113
1982-06-01,1294,395,836,646,461
1982-07-01,1319,413,856,709,557
1982-08-01,1759,724,1108,995,1013
1982-09-01,1545,891,730,3411,741
1982-10-01,147,41,69,0,84
1982-11-01,0,0,0,0,0
1982-12-01,0,0,0,0,0
1983-01-01,0,0,0,0,0
1983-02-01,0,0,0,0,0
1983-03-01,0,0,0,0,0
1983-04-01,0,0,0,0,0
1983-05-01,190,28,98,0,43
1983-06-01,995,247,643,302,355
1983-07-01,1466,449,952,754,619
1983-08-01,1521,649,957,912,875
1983-09-01,1891,866,893,2744,907
1983-10-01,911,251,430,0,525
1983-11-01,0,0,0,0,0
1983-12-01,0,0,0,0,0
1984-01-01,0,0,0,0,0
1984-02-01,0,0,0,0,0
1984-03-01,0,0,0,0,0
1984-04-01,0,0,0,0,0
1984-05-01,631,114,323,848,144
1984-06-01,940,306,607,533,335
1984-07-01,1329,421,863,728,561
1984-08-01,1302,453,820,553,750
1984-09-01,1745,400,824,0,837
1984-10-01,276,76,130,0,159
1984-11-01,0,0,0,0,0
1984-12-01,0,0,0,0,0
1985-01-01,0,0,0,0,0
1985-02-01,0,0,0,0,0
1985-03-01,0,0,0,0,0
1985-04-01,0,0,0,0,0
1985-05-01,496,72,255,0,113
1985-06-01,1380,426,892,704,492
1985-07-01,1543,470,1002,785,651
1985-08-01,1920,494,1209,428,1106
1985-09-01,1188,273,561,0,571
1985-10-01,0,0,0,0,0
1985-11-01,0,0,0,0,0
1985-12-01,0,0,0,0,0
1986-01-01,0,0,0,0,0
1986-02-01,0,0,0,0,0
1986-03-01,0,0,0,0,0
1986-04-01,0,0,0,0,0
1986-05-01,590,98,302,459,134
1986-06-01,1371,435,886,738,489
1986-07-01,1281,398,832,677,541
1986-08-01,1550,523,976,621,892
1986-09-01,810,186,383,0,389
1986-10-01,409,113,193,0,235
1986-11-01,0,0,0,0,0
1986-12-01,0,0,0,0,0
1987-01-01,0,0,0,0,0
1987-02-01,0,0,0,0,0
1987-03-01,0,0,0,0,0
1987-04-01,0,0,0,0,0
1987-05-01,639,119,327,1014,146
1987-06-01,1330,423,859,722,474
1987-07-01,1242,393,807,679,525
1987-08-01,1480,629,932,882,852
1987-09-01,1773,639,837,1479,851
1987-10-01,1289,355,609,0,743
1987-11-01,0,0,0,0,0
1987-12-01,0,0,0,0,0
1988-01-01,0,0,0,0,0
1988-02-01,0,0,0,0,0
1988-03-01,0,0,0,0,0
1988-04-01,0,0,0,0,0
1988-05-01,521,76,267,0,119
1988-06-01,1312,409,848,683,468
1988-07-01,1783,535,1157,884,753
1988-08-01,1756,719,1106,985,1012
1988-09-01,1555,670,734,1995,746
1988-10-01,1412,389,667,0,813
1988-11-01,0,0,0,0,0
1988-12-01,0,0,0,0,0
1989-01-01,0,0,0,0,0
1989-02-01,0,0,0,0,0
1989-03-01,0,0,0,0,0
1989-04-01,52,0,28,0,20
1989-05-01,691,100,354,0,157
1989-06-01,1343,422,868,710,479
1989-07-01,1800,544,1169,904,760
1989-08-01,1386,486,873,597,798
1989-09-01,1513,347,714,0,726
1989-10-01,801,221,378,0,462
1989-11-01,0,0,0,0,0
1989-12-01,0,0,0,0,0
1990-01-01,0,0,0,0,0
1990-02-01,0,0,0,0,0
1990-03-01,0,0,0,0,0
1990-04-01,31,0,17,0,12
1990-05-01,625,107,321,599,143
1990-06-01,1536,483,993,813,548
1990-07-01,1463,453,950,768,618
1990-08-01,1621,666,1020,914,933
1990-09-01,1533,918,724,3597,735
1990-10-01,374,277,177,0,216
1990-11-01,0,0,0,0,0
1990-12-01,0,0,0,0,0
1991-01-01,0,0,0,0,0
1991-02-01,0,0,0,0,0
1991-03-01,0,0,0,0,0
1991-04-01,0,0,0,0,0
1991-05-01,587,104,301,732,134
1991-06-01,1446,454,934,764,515
1991-07-01,1563,477,1015,800,660
1991-08-01,1285,458,809,568,740
1991-09-01,1907,438,901,0,915
1991-10-01,956,263,451,0,550
1991-11-01,0,0,0,0,0
1991-12-01,0,0,0,0,0
1992-01-01,0,0,0,0,0
1992-02-01,0,0,0,0,0
1992-03-01,0,0,0,0,0
1992-04-01,92,0,49,0,35
1992-05-01,590,143,302,2180,134
1992-06-01,1394,439,901,740,497
1992-07-01,1424,442,925,751,601
1992-08-01,1251,439,788,538,720
1992-09-01,1437,330,678,0,689
1992-10-01,1004,277,474,0,578
1992-11-01,0,0,0,0,0
1992-12-01,0,0,0,0,0
1993-01-01,0,0,0,0,0
1993-02-01,0,0,0,0,0
1993-03-01,0,0,0,0,0
1993-04-01,0,0,0,0,0
1993-05-01,482,70,247,0,110
1993-06-01,1419,414,917,639,506
1993-07-01,1613,365,1048,421,681
1993-08-01,1360,214,856,0,783
1993-09-01,1202,276,568,0,577
1993-10-01,55,15,26,0,32
1993-11-01,0,0,0,0,0
1993-12-01,0,0,0,0,0
1994-01-01,0,0,0,0,0
1994-02-01,0,0,0,0,0
1994-03-01,0,0,0,0,0
1994-04-01,0,0,0,0,0
1994-05-01,589,105,302,751,134
1994-06-01,1413,447,913,755,504
1994-07-01,1763,312,1145,185,744
1994-08-01,1684,265,1060,0,969
1994-09-01,1500,344,708,0,719
1994-10-01,329,90,155,0,189
1994-11-01,0,0,0,0,0
1994-12-01,0,0,0,0,0
1995-01-01,0,0,0,0,0
1995-02-01,0,0,0,0,0
1995-03-01,0,0,0,0,0
1995-04-01,0,0,0,0,0
1995-05-01,312,45,160,0,71
1995-06-01,1018,216,658,184,363
1995-07-01,1080,183,701,87,456
1995-08-01,1482,233,933,0,853
1995-09-01,1226,281,579,0,588
1995-10-01,177,49,84,0,102
1995-11-01,0,0,0,0,0
1995-12-01,0,0,0,0,0
1996-01-01,0,0,0,0,0
1996-02-01,0,0,0,0,0
1996-03-01,0,0,0,0,0
1996-04-01,10,0,5,0,4
1996-05-01,658,111,337,586,150
1996-06-01,1234,390,798,659,440
1996-07-01,1438,306,934,313,607
1996-08-01,1456,229,917,0,838
1996-09-01,1187,272,561,0,570
1996-10-01,342,94,162,0,197
1996-11-01,0,0,0,0,0
1996-12-01,0,0,0,0,0
1997-01-01,0,0,0,0,0
1997-02-01,0,0,0,0,0
1997-03-01,0,0,0,0,0
1997-04-01,0,0,0,0,0
1997-05-01,545,101,279,851,124
1997-06-01,1312,417,848,711,468
1997-07-01,1651,501,1072,835,697
1997-08-01,444,309,279,532,256
1997-09-01,864,542,408,2183,415
1997-10-01,579,160,274,0,334
1997-11-01,0,0,0,0,0
1997-12-01,0,0,0,0,0
1998-01-01,0,0,0,0,0
1998-02-01,0,0,0,0,0
1998-03-01,0,0,0,0,0
1998-04-01,0,0,0,0,0
1998-05-01,559,81,286,0,127
1998-06-01,1146,252,741,237,408
1998-07-01,1262,398,819,685,533
1998-08-01,1386,366,873,329,798
1998-09-01,1602,367,756,0,768
1998-10-01,469,129,222,0,270
1998-11-01,0,0,0,0,0
1998-12-01,0,0,0,0,0
1999-01-01,0,0,0,0,0
1999-02-01,0,0,0,0,0
1999-03-01,0,0,0,0,0
1999-04-01,0,0,0,0,0
1999-05-01,316,46,162,0,72
1999-06-01,1303,337,842,441,464
1999-07-01,1415,435,919,735,597
1999-08-01,869,263,547,281,500
1999-09-01,974,223,460,0,467
1999-10-01,212,58,100,0,122
1999-11-01,0,0,0,0,0
1999-12-01,0,0,0,0,0
2000-01-01,0,0,0,0,0
2000-02-01,0,0,0,0,0
2000-03-01,0,0,0,0,0
2000-04-01,0,0,0,0,0
2000-05-01,547,79,281,0,125
2000-06-01,1422,438,919,721,507
2000-07-01,1658,278,1076,125,700
2000-08-01,1448,228,912,0,834
2000-09-01,1197,275,565,0,575
2000-10-01,1473,406,695,0,848
2000-11-01,0,0,0,0,0
2000-12-01,0,0,0,0,0
2001-01-01,0,0,0,0,0
2001-02-01,0,0,0,0,0
2001-03-01,0,0,0,0,0
2001-04-01,39,0,21,0,15
2001-05-01,632,118,324,1013,144
2001-06-01,1414,447,914,757,504
2001-07-01,1620,500,1052,846,684
2001-08-01,1047,415,659,556,603
2001-09-01,1289,296,608,0,618
2001-10-01,57,16,27,0,33
2001-11-01,0,0,0,0,0
2001-12-01,0,0,0,0,0
2002-01-01,0,0,0,0,0
