#,SALVATION_DITCH,WILLOW_CREEK_DITCH,RED_MOUNTAIN_DITCH,HOLDEN_DITCH,HERRICK_DITCH
#,3800981,3801101,3801790,3800755,3800749
#Date,AF,AF,AF,AF,AF
1974-10-01,29.31,5.38,27.68,0,5.63
1974-11-01,0,0,0,0,0
1974-12-01,0,0,0,0,0
1975-01-01,0,0,0,0,0
1975-02-01,0,0,0,0,0
1975-03-01,0,0,0,0,0
1975-04-01,0,0,0,0,0
1975-05-01,68.86,12.63,65.03,0,13.21
1975-06-01,163.74,46.09,154.65,25.49,31.42
1975-07-01,141.34,56.21,133.49,48.1,27.13
1975-08-01,103.72,48.56,97.96,46.92,19.91
1975-09-01,86.13,30.95,81.34,24.05,16.53
1975-10-01,12.75,2.34,12.04,0,2.45
1975-11-01,0,0,0,0,0
1975-12-01,0,0,0,0,0
1976-01-01,0,0,0,0,0
1976-02-01,0,0,0,0,0
1976-03-01,0,0,0,0,0
1976-04-01,0,0,0,0,0
1976-05-01,99.49,18.25,93.96,0,19.09
1976-06-01,181.2,60.37,171.14,43.09,34.78
1976-07-01,170.01,66.82,160.57,56.59,32.63
1976-08-01,84.57,41.61,79.87,41.45,16.23
1976-09-01,73.27,33.01,69.19,31.08,14.06
1976-10-01,4.05,0.74,3.82,0,0.78
1976-11-01,0,0,0,0,0
1976-12-01,0,0,0,0,0
1977-01-01,0,0,0,0,0
1977-02-01,0,0,0,0,0
1977-03-01,0,0,0,0,0
1977-04-01,0,0,0,0,0
1977-05-01,124.45,26.83,117.54,6.35,23.88
1977-06-01,205.98,74.63,194.54,58.52,39.53
1977-07-01,132.61,53.68,125.24,46.62,25.45
1977-08-01,96.43,46.55,91.08,45.84,18.51
1977-09-01,89.07,31.23,84.12,23.65,17.1
1977-10-01,23.65,4.34,22.33,0,4.54
1977-11-01,0,0,0,0,0
1977-12-01,0,0,0,0,0
1978-01-01,0,0,0,0,0
1978-02-01,0,0,0,0,0
1978-03-01,0,0,0,0,0
1978-04-01,0,0,0,0,0
1978-05-01,112.85,20.7,106.58,0,21.66
1978-06-01,196.55,69.88,185.63,53.72,37.72
1978-07-01,175.28,68.4,165.54,57.58,33.64
1978-08-01,107.02,41.63,101.07,34.95,20.54
1978-09-01,86.45,15.86,81.64,0,16.59
1978-10-01,42.53,7.8,40.16,0,8.16
1978-11-01,0,0,0,0,0
1978-12-01,0,0,0,0,0
1979-01-01,0,0,0,0,0
1979-02-01,0,0,0,0,0
1979-03-01,0,0,0,0,0
1979-04-01,0,0,0,0,0
1979-05-01,75.08,13.77,70.91,0,14.41
1979-06-01,134.23,46.7,126.78,35.07,25.76
1979-07-01,178.15,69.11,168.25,57.87,34.19
1979-08-01,79.73,33.03,75.3,29.24,15.3
1979-09-01,102.55,18.82,96.85,0,19.69
1979-10-01,31.11,5.71,29.38,0,5.97
1979-11-01,0,0,0,0,0
1979-12-01,0,0,0,0,0
1980-01-01,0,0,0,0,0
1980-02-01,0,0,0,0,0
1980-03-01,0,0,0,0,0
1980-04-01,0,0,0,0,0
1980-05-01,103.75,20.91,97.99,2.99,19.91
1980-06-01,204.62,73.64,193.26,57.34,39.27
1980-07-01,181.03,70.44,170.97,59.13,34.74
1980-08-01,97.76,46.91,92.33,46.02,18.76
1980-09-01,84.58,16.37,79.87,1.36,16.24
1980-10-01,11.97,2.2,11.31,0,2.3
1980-11-01,0,0,0,0,0
1980-12-01,0,0,0,0,0
1981-01-01,0,0,0,0,0
1981-02-01,0,0,0,0,0
1981-03-01,0,0,0,0,0
1981-04-01,17.42,3.2,16.45,0,3.34
1981-05-01,65.92,14.7,62.27,4.15,12.65
1981-06-01,187.92,68.33,177.48,53.78,36.06
1981-07-01,154.89,61.64,146.29,52.78,29.73
1981-08-01,102.33,49.39,96.64,48.63,19.64
1981-09-01,74.1,24.33,69.98,17.06,14.22
1981-10-01,27.42,5.03,25.89,0,5.26
1981-11-01,0,0,0,0,0
1981-12-01,0,0,0,0,0
1982-01-01,0,0,0,0,0
1982-02-01,0,0,0,0,0
1982-03-01,0,0,0,0,0
1982-04-01,0,0,0,0,0
1982-05-01,94.01,17.25,88.79,0,18.04
1982-06-01,168.17,59.3,158.83,45.19,32.27
1982-07-01,145.05,57.84,136.99,49.6,27.84
1982-08-01,105.55,50.67,99.69,49.74,20.26
1982-09-01,77.24,35.65,72.95,34.11,14.83
1982-10-01,4.4,0.81,4.15,0,0.84
1982-11-01,0,0,0,0,0
1982-12-01,0,0,0,0,0
1983-01-01,0,0,0,0,0
1983-02-01,0,0,0,0,0
1983-03-01,0,0,0,0,0
1983-04-01,0,0,0,0,0
1983-05-01,36.15,6.63,34.14,0,6.94
1983-06-01,129.37,37.02,122.19,21.11,24.83
1983-07-01,161.26,62.83,152.31,52.81,30.95
1983-08-01,91.23,45.45,86.16,45.61,17.51
1983-09-01,94.57,34.63,89.31,27.44,18.15
1983-10-01,27.32,5.01,25.8,0,5.25
1983-11-01,0,0,0,0,0
1983-12-01,0,0,0,0,0
1984-01-01,0,0,0,0,0
1984-02-01,0,0,0,0,0
1984-03-01,0,0,0,0,0
1984-04-01,0,0,0,0,0
1984-05-01,119.87,27.33,113.22,8.48,23.01
1984-06-01,122.15,45.88,115.37,37.28,23.44
1984-07-01,146.23,58.9,138.11,50.95,28.06
1984-08-01,78.14,31.73,73.8,27.63,15
1984-09-01,87.27,16.01,82.42,0,16.75
1984-10-01,8.28,1.52,7.82,0,1.59
1984-11-01,0,0,0,0,0
1984-12-01,0,0,0,0,0
1985-01-01,0,0,0,0,0
1985-02-01,0,0,0,0,0
1985-03-01,0,0,0,0,0
1985-04-01,0,0,0,0,0
1985-05-01,94.32,17.3,89.09,0,18.1
1985-06-01,179.38,63.92,169.42,49.26,34.43
1985-07-01,169.72,65.74,160.29,54.97,32.57
1985-08-01,115.19,34.6,108.79,21.39,22.11
1985-09-01,59.42,10.9,56.11,0,11.41
1985-10-01,0,0,0,0,0
1985-11-01,0,0,0,0,0
1985-12-01,0,0,0,0,0
1986-01-01,0,0,0,0,0
1986-02-01,0,0,0,0,0
1986-03-01,0,0,0,0,0
1986-04-01,0,0,0,0,0
1986-05-01,112.06,23.45,105.83,4.59,21.51
1986-06-01,178.25,65.22,168.36,51.66,34.21
1986-07-01,140.88,55.66,133.05,47.37,27.04
1986-08-01,93.01,36.61,87.85,31.06,17.85
1986-09-01,40.51,7.43,38.26,0,7.78
1986-10-01,12.26,2.25,11.57,0,2.35
1986-11-01,0,0,0,0,0
1986-12-01,0,0,0,0,0
1987-01-01,0,0,0,0,0
1987-02-01,0,0,0,0,0
1987-03-01,0,0,0,0,0
1987-04-01,0,0,0,0,0
1987-05-01,121.32,28.64,114.58,10.14,23.28
1987-06-01,172.87,63.52,163.27,50.53,33.18
1987-07-01,136.67,55,129.08,47.54,26.23
1987-08-01,88.78,44.05,83.85,44.1,17.04
1987-09-01,88.65,25.58,83.72,14.79,17.02
1987-10-01,38.68,7.1,36.52,0,7.43
1987-11-01,0,0,0,0,0
1987-12-01,0,0,0,0,0
1988-01-01,0,0,0,0,0
1988-02-01,0,0,0,0,0
1988-03-01,0,0,0,0,0
1988-04-01,0,0,0,0,0
1988-05-01,98.96,18.16,93.47,0,18.99
1988-06-01,170.6,61.38,161.13,47.79,32.74
1988-07-01,196.09,74.93,185.19,61.88,37.63
1988-08-01,105.38,50.33,99.53,49.24,20.23
1988-09-01,77.73,26.82,73.41,19.95,14.92
1988-10-01,42.37,7.77,40.01,0,8.13
1988-11-01,0,0,0,0,0
1988-12-01,0,0,0,0,0
1989-01-01,0,0,0,0,0
1989-02-01,0,0,0,0,0
1989-03-01,0,0,0,0,0
1989-04-01,17.67,3.24,16.69,0,3.39
1989-05-01,131.2,24.07,123.91,0,25.18
1989-06-01,174.64,63.32,164.95,49.69,33.52
1989-07-01,197.96,76.16,186.97,63.28,37.99
1989-08-01,83.18,34.05,78.56,29.84,15.96
1989-09-01,75.65,13.88,71.44,0,14.52
1989-10-01,24.04,4.41,22.7,0,4.62
1989-11-01,0,0,0,0,0
1989-12-01,0,0,0,0,0
1990-01-01,0,0,0,0,0
1990-02-01,0,0,0,0,0
1990-03-01,0,0,0,0,0
1990-04-01,10.48,1.92,9.9,0,2.01
1990-05-01,118.78,25.56,112.18,5.99,22.8
1990-06-01,199.74,72.47,188.65,56.91,38.33
1990-07-01,160.88,63.35,151.94,53.75,30.88
1990-08-01,97.23,46.6,91.83,45.68,18.66
1990-09-01,76.65,36.71,72.38,35.97,14.71
1990-10-01,11.23,5.53,10.6,5.52,2.16
1990-11-01,0,0,0,0,0
1990-12-01,0,0,0,0,0
1991-01-01,0,0,0,0,0
1991-02-01,0,0,0,0,0
1991-03-01,0,0,0,0,0
1991-04-01,0,0,0,0,0
1991-05-01,111.51,25.07,105.32,7.32,21.4
1991-06-01,187.93,68.15,177.49,53.5,36.07
1991-07-01,171.95,66.82,162.4,56.03,33
1991-08-01,77.12,32.03,72.83,28.41,14.8
1991-09-01,95.37,17.5,90.07,0,18.31
1991-10-01,28.67,5.26,27.07,0,5.5
1991-11-01,0,0,0,0,0
1991-12-01,0,0,0,0,0
1992-01-01,0,0,0,0,0
1992-02-01,0,0,0,0,0
1992-03-01,0,0,0,0,0
1992-04-01,31.44,5.77,29.69,0,6.03
1992-05-01,112.06,34.28,105.84,21.8,21.51
1992-06-01,181.26,65.88,171.2,51.83,34.79
1992-07-01,156.64,61.82,147.95,52.56,30.06
1992-08-01,75.07,30.71,70.9,26.9,14.41
1992-09-01,71.83,13.18,67.84,0,13.79
1992-10-01,30.12,5.53,28.44,0,5.78
1992-11-01,0,0,0,0,0
1992-12-01,0,0,0,0,0
1993-01-01,0,0,0,0,0
1993-02-01,0,0,0,0,0
1993-03-01,0,0,0,0,0
1993-04-01,0,0,0,0,0
1993-05-01,91.59,16.8,86.5,0,17.58
1993-06-01,184.5,62.03,174.26,44.76,35.41
1993-07-01,177.48,51.13,167.62,29.49,34.06
1993-08-01,81.6,14.97,77.07,0,15.66
1993-09-01,60.12,11.03,56.78,0,11.54
1993-10-01,1.65,0.3,1.56,0,0.32
1993-11-01,0,0,0,0,0
1993-12-01,0,0,0,0,0
1994-01-01,0,0,0,0,0
1994-02-01,0,0,0,0,0
1994-03-01,0,0,0,0,0
1994-04-01,0,0,0,0,0
1994-05-01,111.98,25.27,105.76,7.51,21.49
1994-06-01,183.71,66.99,173.51,52.88,35.26
1994-07-01,193.91,43.73,183.14,12.95,37.22
1994-08-01,101.03,18.54,95.41,0,19.39
1994-09-01,74.98,13.76,70.81,0,14.39
1994-10-01,9.86,1.81,9.31,0,1.89
1994-11-01,0,0,0,0,0
1994-12-01,0,0,0,0,0
1995-01-01,0,0,0,0,0
1995-02-01,0,0,0,0,0
1995-03-01,0,0,0,0,0
1995-04-01,0,0,0,0,0
1995-05-01,59.34,10.89,56.05,0,11.39
1995-06-01,132.32,32.4,124.98,12.91,25.39
1995-07-01,118.8,25.64,112.21,6.1,22.8
1995-08-01,88.89,16.31,83.95,0,17.06
1995-09-01,61.29,11.25,57.89,0,11.77
1995-10-01,5.31,0.97,5.02,0,1.02
1995-11-01,0,0,0,0,0
1995-12-01,0,0,0,0,0
1996-01-01,0,0,0,0,0
1996-02-01,0,0,0,0,0
1996-03-01,0,0,0,0,0
1996-04-01,3.23,0.59,3.05,0,0.62
1996-05-01,125.01,26.62,118.07,5.86,23.99
1996-06-01,160.47,58.48,151.56,46.14,30.8
1996-07-01,158.22,42.82,149.43,21.91,30.37
1996-08-01,87.37,16.03,82.52,0,16.77
1996-09-01,59.36,10.89,56.06,0,11.39
1996-10-01,10.27,1.88,9.7,0,1.97
1996-11-01,0,0,0,0,0
1996-12-01,0,0,0,0,0
1997-01-01,0,0,0,0,0
1997-02-01,0,0,0,0,0
1997-03-01,0,0,0,0,0
1997-04-01,0,0,0,0,0
1997-05-01,103.55,24.35,97.8,8.51,19.87
1997-06-01,170.54,62.61,161.07,49.76,32.73
1997-07-01,181.63,70.1,171.54,58.42,34.86
1997-08-01,26.62,21.64,25.15,26.61,5.11
1997-09-01,43.19,21.66,40.79,21.83,8.29
1997-10-01,17.38,3.19,16.41,0,3.34
1997-11-01,0,0,0,0,0
1997-12-01,0,0,0,0,0
1998-01-01,0,0,0,0,0
1998-02-01,0,0,0,0,0
1998-03-01,0,0,0,0,0
1998-04-01,0,0,0,0,0
1998-05-01,106.12,19.47,100.23,0,20.37
1998-06-01,148.97,37.76,140.7,16.57,28.59
1998-07-01,138.8,55.65,131.09,47.95,26.64
1998-08-01,83.15,25.6,78.53,16.44,15.96
1998-09-01,80.09,14.69,75.63,0,15.37
1998-10-01,14.07,2.58,13.29,0,2.7
1998-11-01,0,0,0,0,0
1998-12-01,0,0,0,0,0
1999-01-01,0,0,0,0,0
1999-02-01,0,0,0,0,0
1999-03-01,0,0,0,0,0
1999-04-01,0,0,0,0,0
1999-05-01,60,11.01,56.67,0,11.52
1999-06-01,169.39,50.5,159.99,30.85,32.51
1999-07-01,155.64,60.94,146.99,51.44,29.87
1999-08-01,52.13,18.39,49.23,14.03,10
1999-09-01,48.68,8.93,45.97,0,9.34
1999-10-01,6.35,1.16,5.99,0,1.22
1999-11-01,0,0,0,0,0
1999-12-01,0,0,0,0,0
2000-01-01,0,0,0,0,0
2000-02-01,0,0,0,0,0
2000-03-01,0,0,0,0,0
2000-04-01,0,0,0,0,0
2000-05-01,103.97,19.07,98.2,0,19.95
2000-06-01,184.81,65.69,174.55,50.49,35.47
2000-07-01,182.36,38.97,172.23,8.76,35
2000-08-01,86.88,15.94,82.06,0,16.68
2000-09-01,59.84,10.98,56.51,0,11.49
2000-10-01,44.19,8.11,41.73,0,8.48
2000-11-01,0,0,0,0,0
2000-12-01,0,0,0,0,0
2001-01-01,0,0,0,0,0
2001-02-01,0,0,0,0,0
2001-03-01,0,0,0,0,0
2001-04-01,13.2,2.42,12.47,0,2.53
2001-05-01,120.08,28.41,113.41,10.13,23.05
2001-06-01,183.8,67.08,173.6,53,35.27
2001-07-01,178.17,69.95,168.27,59.2,34.2
2001-08-01,62.79,29.03,59.3,27.81,12.05
2001-09-01,64.43,11.82,60.84,0,12.37
2001-10-01,1.7,0.31,1.6,0,0.33
2001-11-01,0,0,0,0,0
2001-12-01,0,0,0,0,0
2002-01-01,0,0,0,0,0
2002-02-01,0,0,0,0,0
2002-03-01,0,0,0,0,0
2002-04-01,0,0,0,0,0
2002-05-01,105.4,19.34,99.55,0,20.23
2002-06-01,207.55,75.02,196.03,58.69,39.83
2002-07-01,195.03,76.83,184.2,65.2,37.43
2002-08-01,106.84,42.08,100.9,35.7,20.51
2002-09-01,61.49,11.28,58.07,0,11.8
2002-10-01,27.34,5.02,25.81,0,5.25
2002-11-01,0,0,0,0,0
2002-12-01,0,0,0,0,0
2003-01-01,0,0,0,0,0
2003-02-01,0,0,0,0,0
2003-03-01,0,0,0,0,0
2003-04-01,0,0,0,0,0
2003-05-01,96.41,17.69,91.06,0,18.5
2003-06-01,174.96,58.61,165.25,42.12,33.58
2003-07-01,188.63,73.89,178.15,62.4,36.2
2003-08-01,87.29,35.9,82.44,31.59,16.75
2003-09-01,42.13,7.73,39.79,0,8.09
2003-10-01,45.62,8.37,43.07,0,8.76
2003-11-01,0,0,0,0,0
2003-12-01,0,0,0,0,0
2004-01-01,0,0,0,0,0
2004-02-01,0,0,0,0,0
2004-03-01,0,0,0,0,0
2004-04-01,13.04,2.39,12.31,0,2.5
2004-05-01,118.09,24.38,111.53,4.32,22.66
2004-06-01,172.24,62.76,162.68,49.5,33.06
2004-07-01,158.83,61.96,150.01,52.14,30.48
2004-08-01,80.34,31.81,75.88,27.12,15.42
2004-09-01,68.3,12.53,64.5,0,13.11
2004-10-01,21.08,3.87,19.9,0,4.05
2004-11-01,0,0,0,0,0
2004-12-01,0,0,0,0,0
2005-01-01,0,0,0,0,0
2005-02-01,0,0,0,0,0
2005-03-01,0,0,0,0,0
2005-04-01,0,0,0,0,0
2005-05-01,113.96,20.91,107.64,0,21.87
2005-06-01,156.13,50.79,147.46,35.18,29.96
2005-07-01,188.17,73.08,177.71,61.25,36.11
2005-08-01,78.1,39.96,73.76,40.72,14.99
2005-09-01,48.26,9.51,45.57,1.04,9.26
2005-10-01,29.18,5.35,27.55,0,5.6
2005-11-01,0,0,0,0,0
2005-12-01,0,0,0,0,0
2006-01-01,0,0,0,0,0
2006-02-01,0,0,0,0,0
2006-03-01,0,0,0,0,0
2006-04-01,28.62,5.25,27.03,0,5.49
2006-05-01,152.83,42.69,144.34,23.27,29.33
2006-06-01,193.58,70.45,182.83,55.5,37.15
2006-07-01,143.96,58.46,135.97,50.91,27.63
2006-08-01,84.71,34.55,80,30.19,16.26
2006-09-01,70.2,12.88,66.3,0,13.48
2006-10-01,1.45,0.27,1.37,0,0.28
2006-11-01,0,0,0,0,0
2006-12-01,0,0,0,0,0
2007-01-01,0,0,0,0,0
2007-02-01,0,0,0,0,0
2007-03-01,0,0,0,0,0
2007-04-01,16.75,3.07,15.82,0,3.21
2007-05-01,129.32,31.4,122.14,12.19,24.82
2007-06-01,199.96,72.43,188.85,56.79,38.38
2007-07-01,202.21,78.43,190.98,65.66,38.81
2007-08-01,96.76,38.78,91.38,33.4,18.57
2007-09-01,76.16,13.97,71.92,0,14.62
2007-10-01,31.65,5.81,29.89,0,6.08
2007-11-01,0,0,0,0,0
2007-12-01,0,0,0,0,0
2008-01-01,0,0,0,0,0
2008-02-01,0,0,0,0,0
2008-03-01,0,0,0,0,0
2008-04-01,0,0,0,0,0
2008-05-01,72.95,13.38,68.9,0,14
2008-06-01,166.78,55,157.52,38.76,32.01
2008-07-01,166.34,65.23,157.1,55.14,31.92
2008-08-01,84.69,33.73,79.99,28.91,16.25
2008-09-01,67.8,12.44,64.03,0,13.01
2008-10-01,16.29,2.99,15.39,0,3.13
2008-11-01,0,0,0,0,0
2008-12-01,0,0,0,0,0
2009-01-01,0,0,0,0,0
2009-02-01,0,0,0,0,0
2009-03-01,0,0,0,0,0
2009-04-01,0,0,0,0,0
2009-05-01,117.5,23.37,110.97,2.89,22.55
2009-06-01,164.89,59.81,155.74,46.95,31.65
2009-07-01,160.93,62.88,152,52.98,30.89
2009-08-01,80.27,32.63,75.81,28.44,15.41
2009-09-01,69.85,12.81,65.96,0,13.41
2009-10-01,4.39,0.81,4.14,0,0.84
2009-11-01,0,0,0,0,0
2009-12-01,0,0,0,0,0
2010-01-01,0,0,0,0,0
2010-02-01,0,0,0,0,0
2010-03-01,0,0,0,0,0
2010-04-01,0,0,0,0,0
2010-05-01,76.55,14.04,72.3,0,14.69
2010-06-01,177.32,63.81,167.48,49.69,34.03
