Structure WDID,Absolute Rate,Unit,Adjudication Date,Admin. Number,MODSIM Cost,
3800749,9,cfs,10/1/1890,31648.1488,-295,
3801790,1,cfs,5/15/1884,12554.0000,-480,
3800981,58,cfs,8/2/1902,20041.1921,390,
3801091,10,cfs,9/1/1882,11932.0000,-490,
3800963,3,cfs,6/1/1888,30941.1403,-340,
3800904,4,cfs,6/9/1885,30941.1294,-350,
3800755,4,cfs,1/10/1926,30941.2777,-320,
3800755,19,cfs,3/1/1902,30845.1905,-360,
3800755,30,cfs,8/27/1950,36763.0000,-280,
3800854,3,cfs,7/10/1889,15799.1444,-410,
3801026,8,cfs,6/30/1904,30523.1990,-370,
3801101,3,cfs,7/1/1885,12966.0000,-470,
3804617,625,cfs,8/23/1930,30941.2945,-310,
3800869,60,cfs,11/16/1885,15515.1310,-430,
3800869,100,cfs,5/11/1889,15515.1438,-420,
3801101,3,cfs,5/1/1887,13635.0000,-460,
3801101,30,cfs,4/15/1891,15514.1508,-440,
3801101,4,cfs,12/22/1989,51125.0000,-120,
3800749,52,cfs,8/1/1951,37552.3710,-270,
3800749,4,cfs,12/22/1989,51125.0000,-120,
3800904,1,cfs,4/30/1989,52230.5089,-100,
3800755,2,cfs,5/1/1932,30941.3007,-300,
3801026,6,cfs,9/22/1960,40442.0000,-250,
3801026,2,cfs,6/1/1977,46751.4654,-170,
3801790,13,cfs,11/27/1888,14211.0000,-450,
3801790,6,cfs,4/3/1909,25618.2164,-380,
3801790,4,cfs,9/3/1915,30941.2399,-330,
3801790,1,cfs,6/11/1990,51296.0000,-100,
3801790,1,cfs,12/11/2001,56247.5550,-90,
3801790,1,cfs,10/15/2004,56536.0000,-80,
3800981,1,cfs,12/26/1989,51129.0000,-110,
3800854,65,cfs,8/12/1892,32907.1557,-290,
3801594,270,cfs,7/29/1957,39291.0000,-260,
3802049,32,cfs,1/14/1976,46034.0000,-220,
3802023,8,cfs,1/14/1976,46034.0000,-220,
3802050,10,cfs,1/14/1976,46034.0000,-220,
3802015,12,cfs,1/14/1976,46034.0000,-220,
3802027,14,cfs,1/14/1976,46034.0000,-220,
3802111,55,cfs,11/8/1985,49620.0000,-150,
3802000,14,cfs,2/26/1975,45712.0000,-240,
3802000,16,cfs,1/31/1979,47147.0000,-160,
3802039,15,cfs,1/14/1976,46034.0000,-220,
3801763,322,cfs,8/25/1936,,-310,
,,,,,,
